id	regeste	issuer
Fontenay 25A	Régeste	
Fontenay 30A	Régeste	
Fontenay 31A	Régeste	
Fontenay 37A	Régeste	
Fontenay 38A	Régeste	
Fontenay 41A	Régeste	
Fontenay 46A	Régeste	
Fontenay 49A	Régeste	
Fontenay 50A	Régeste	
Fontenay 51A	Régeste	
Fontenay 52A	Régeste	
Fontenay 53A	Régeste	
Fontenay 54A	Régeste	
Fontenay 55A	Régeste	
Fontenay 56A	Régeste	
Fontenay 57A	Régeste	
Fontenay 58A	Régeste	
Fontenay 59A	Régeste	
Fontenay 60A	Régeste	
Fontenay 61A	Régeste	
Fontenay 62A	Régeste	
Fontenay 63A	Régeste	
Fontenay 65A	Régeste	
Fontenay 66A	Régeste	
Fontenay 67A1	Régeste	
Fontenay 68A	Régeste	
Fontenay 69A	Régeste	
Fontenay 70A	Régeste	
Fontenay 71A	Régeste	
Fontenay 72A	Régeste	
Fontenay 73A	Régeste	
Fontenay 74A	Régeste	
Fontenay 75A	Régeste	
Fontenay 76A	Régeste	
Fontenay 77A	Régeste	
Fontenay 79A	Régeste	
Fontenay 80A	Régeste	
Fontenay 82A	Régeste	
Fontenay 83A	Régeste	
Fontenay 84A	Régeste	
Fontenay 85A	Régeste	
Fontenay 86A	Régeste	
Fontenay 87A	Régeste	
Fontenay 89A	Régeste	
Fontenay 90A	Régeste	
Fontenay 91A	Régeste	
Fontenay 93A	Régeste	
Fontenay 95A	Régeste	
Fontenay 96A	Régeste	
Fontenay 97A	Régeste	
Fontenay 98A	Régeste	
Fontenay 99A	Régeste	
Fontenay 100A	Régeste	
Fontenay 101A	Régeste	
Fontenay 102A	Régeste	
Fontenay 103A	Régeste	
Fontenay 104A	Régeste	
Fontenay 105A	Régeste	
Fontenay 106A	Régeste	
Fontenay 107A	Régeste	
Fontenay 109A	Régeste	
Fontenay 110A	Régeste	
Fontenay 111A	Régeste	
Fontenay 112A	Régeste	
Fontenay 113A	Régeste	
Fontenay 114A	Régeste	
Fontenay 115A	Régeste	
Fontenay 116A	Régeste	
Fontenay 117A	Régeste	
Fontenay 118A	Régeste	
Fontenay 119A	Régeste	
Fontenay 120A1	Chirographe avec devise en marge supérieure.	
Fontenay 121A1	Chirographe (voir 15 H 65 n°2) Chirographe : en marge supérieure, coupé « CYRO GRA PH UM »	
Fontenay 121A2	Chirographe (voir 15 H 65 n°2) Chirographe : en marge supérieure, coupé « CYRO GRA PH UM »	
Fontenay 122A	Régeste	
Fontenay 123A	Régeste	
Fontenay 124α	Régeste	
Fontenay 124A	Régeste	
Fontenay 125A	Régeste	
Fontenay 126A	Régeste	
Fontenay 127A	Régeste	
Fontenay 127C	Régeste	
Fontenay 128A	Régeste	
Fontenay 129A	Régeste	
Fontenay 130A1	Chirographe	
Fontenay 130A2	Chirographe	
Fontenay 131A	Régeste	
Fontenay 132A	Régeste	
Fontenay 133A	Régeste	
Fontenay 134A	Régeste	
Fontenay 135A	Régeste	
Fontenay 137A	Régeste	
Fontenay 138A1	Régeste	
Fontenay 138A2	Régeste	
Fontenay 139A	Régeste	
Fontenay 140A	Régeste	
Fontenay 141A	Régeste	
Fontenay 142A	Régeste	
Fontenay 143A	Régeste	
Fontenay 144A	Régeste	
Fontenay 145A	Régeste	
Fontenay 146A	Régeste	
Fontenay 147A	Régeste	
Fontenay 148A	Régeste	
Fontenay 149A	Régeste	
Fontenay 150A	Régeste	
Fontenay 151A1	Régeste	
Fontenay 152A	Régeste	
Fontenay 153A	Régeste	
Fontenay 154A	Régeste	
Fontenay 155A	Régeste	
Fontenay 156A1	Régeste	
Fontenay 156A2	Régeste	
Fontenay 157A	Régeste	
Fontenay 158A	Régeste	
