id	regeste	first_ent	first_ent_label
1451_X_14	Die Mitglieder der Stände der Prälaten, Herren, Ritter und Knechte und die Vertreter der Städte verlangen von König Friedrich [IV.], dass nach der testamentarischen Verfügung König Albrecht's [II.] dessen unmündiger Sohn König Lasslaw [Posthumus] bis zur Erlangung seiner Mündigkeit nach Oesterreich gebracht werde und in Wien wohnhaft sei, und verbünden sich zur gemeinsamen Abwehr, falls einem der Verbündeten eine Unbill zugefügt würde.Siegler: unter anderen der Convent vom Goetweig.Datum: Geben zu Martperig an pfincztag nach sannd Collmannstag (1451).	Albrecht's	PER
1314_XII_13	Wlfinch der Hevsler beurkundet, dass er in die Oblai des Stiftes zu Chotweig zur Stiftung eines Jahrtages für sich, seine verstorbene Frau Wilbirg und alle seine Vorfahren 15 ß weniger 9 d Gülten Wiener Münze seines rechten Erbeigens zu Lauchsveld und Maespirbaum unter folgenden Bestimmungen übergeben hat: es soll die eine Hälfte dieser Gülten an dem heiligen chreuzstach in dem Herbst dem Stifte gezinst werden, wofür für sie an sand Michels obnt ein Jahrtag mit Vigilien und einer Messe zu begehen ist und der Obleimeister den Mönchen und Nonnen im Stifte ein Mahl zu verabreichen hat, während die andere Hälfte an sand Niclostach zu zinsen ist, wofür in gleicher Weise an sand Luceintach ein Jahrtag für sie abzuhalten und ein Mahl zu geben ist. Der Stifter verzichtet für sich und seine Erben auf alle Rechte einschliesslich des Vogteirechtes über die Leute und Güter.Siegler: Wlfinch der Hevsler (I.) und seine ,vreund', Herr Wichart der Pfarrer von Neleub (II.), Herr Ott der Zelkinger von Schala (III.), Herr Ditrich von Seserdorf (IV.), Ott von Weizznberch (V.), Chvnrat der Rinderschinch (VI.), Rvger von Schonnleitn (VII.).Zeugen: der Weichart von Planchenstain, der Hertweich Lochler, Friderich Hevsler, Wernhart sein brůder der Wernhart Hevsler, Friderich der Sigpech, Wisnt von Prunn, Albreht der rihter, Chvnrat der schaffer, Ott Chrutsteter, Englschalch, Levtwein der chamrer.Datum: gebn ze Chotweig (1314) an sand Luceintach.	Wlfinch der Hevsler	PER
1432_IV_30	Der Notar Johann Sweigger von Sulcz, Cleriger der Konstanzer Diöcese, beurkundet, dass Stephan Grasslag de Holebrunna, Kleriker der Passauer Diöcese, vor ihm und Propst Georg von Klosterneuburg den anwesenden Cristann Pewger von Haedersdorff und den Pfarrer Urban in Stain in dessen Abwesenheit bevollmächtigte, an seiner statt auf die Pfarrkirche zum heil. Martin in Michelpach in die Hand des Abtes Lucas in Choettwig als des Patrones oder seines Stellvertreters sub forma permutacionis in iure concesse zu resignieren und im Nothfalle Substituten zu ernennen.Datum: Acta sunt hec (1432), indictione decima, die vero Mercurii ultima mensis aprilis, hora quasi nonarum, pontificatus etc. Eugenii etc. pape quarti anno regencie eius secundo in Newburga claustrali Pataviensis diocesis, in domo habitacionis etc. Georii prepositi ibidem monasterii gloriosissime virginis Marie genitricis dei in cenaculo magno iuxta capellam sancti Thome episcopi et martiris.Zeugen: presentibus venerabili patre domino Georio preposito Neuburgensi ordinis Augustinensis, Nycolao Toeckl, civi Newburgensi, Iohanni Lankchamer etc., clericis et laicis Pataviensis et Herbipolensis dycesium.a	Johann Sweigger von Sulcz, Cleriger	PER
1406_X_13	Fridreich Aschpekchera zu Vrspring und Kathrey seine Frau verkaufen dem Pfarrer Gregor zu Mawr um 25 lb. Wiener d. ihren Weingarten an dem Prekleinsperrg1zenaest Hansens weingartten des Vrspringer und Erhartz des Suppaner weingartten, welcher freies Burgrecht ist und von dem Fridreich in dem Hof zu Mawr 6 Wiener d. an sand Michelstag zu zinsen sind.Siegler: für Fridreich in dem Hof (wen ich obgenantter Fridreich in dem hof ze Mawr dyzeit aygens insigill nicht gehabt hab) der erber Jorig der Enigchell von Albrethperig,2 für die Urkundenaussteller der ersam Herr Seyfrid Pfarrer zu Losdarff und (III.) der erber Knecht Vrschalich zu Meczleinsdarff.Datum: Gegeben (1406) an sand Cholmanstag.	Fridreich Aschpekchera	PER
1401_XI_16	Bischof Berthold von Freising, Rudolf von Walsse, Eberhart von Kapelln, Reimprecht von Walsse und Fridreich von Walsse beurkunden als die in dem Streite zwischen Herzog Wilhelm zu Oesterreich und dem Abte und Convente zum Koetweig einerseits und dem Bischofe Joerg zu Passaw anderseits wegen der Kirche zu Mauttarn beiderseits erwählten Schiedsrichter folgenden Rechtsspruch: 1. hat jedwede Feindschaft zwischen beiden Parteienaufzuhören; 2. hat jede Partei die Gefangenen der anderen freizulassenund keinen Schadenersatz zu beanspruchen; 3. hat Herzog Wilhelm dem Bischofe von Passaw die Stadt Mauttarn zu übergeben und den beschlagnahmten Wein und sonstige Habe herauszugeben; 4. gehört die Pfarrkirche zu Mauttarn dem A und Convente zum Koetweig mit allen Rechten zu, welche dieselbe mit ihren Ordensleuten zu besetzen berechtigt sind. Diese sollen jedoch vom Bischofe von Pazzaw die Institutio authorizabilis erhalten. Beansprucht der Bischof weitere Rechte, so hat er sie urkundlich zu erweisen; 5. behalten sowohl Herzog Wilhelm als auch der Bischof von Pazzaw ihre bisherigen Rechte weiter.Siegler: (I.) Bischof Berthold von Freising, (II.) Růdolf von Walsse, (III.) Eberhart von Kapelln, (IV.) Reimprecht von Walsse, (V.) Fridreich von Walsse.Datum: Geben ze Wienn an mitichen vor sand Elsbethentag (1401).	Berthold von Freising, Rudolf von Walsse	PER
1171_V_01	Herzog Heinrich I. von Oesterreich legt im Vergleichswege den Streit zwischen dem Abte Johann I. von Göttweig und einer Tochter des Edlen Waldo über ein Gut in Grie bei.	Heinrich I. von Oesterreich	PER
1300_VII_25.3	Abt Heinrich IV. von Göttweig überträgt Konrad von Wolfenreith benannte Zehente als erbliches Lehen.	Heinrich IV. von Göttweig	PER
1451_IV_21	Bruder Thoman, Prior des Karthäuserklosters zu Achspach, belehnt den edeln Wolfgang Waser und dessen Nachkommen, Söhne und Töchter auf dessen Bitten mit vier ganzen Lehen behausten Gutes zu Pielaperg in der Geroltinger Pfarre, welche jetzt Paul Noter, Jans Vischer auf der Stetten, Chuncz Prein und Jorg Rapp zu je einem Jahreszinse von 9½ ß. Wiener d. innehaben, und welche von seinem Kloster zu Lehen rühren.Siegler: Prior Thoman mit dem Prioratssiegel.Datum: Geben ze Achspach am mitichen vor sand Gorgentag (1451).	Bruder Thoman	PER
1303_V_06	Leutolt von Chvnring, oberster Schenk in Oesterreich, beurkundet, dass Abt Heinrich [IV.] und der Convent von Göttweig dem Heinrich Hvglingar, dessen Frau Perhte und dessen Sohn Otto einen Hof zu Nevnling,1 der dem Stifte bereits früher entfremdet worden war, als Leibgeding gegen eine an Göttweig, das sich gerade in einer grossen Nothlage befand, geleistete Ent-schädigung von 10 lb. Wiener d. übertragen haben, wogegen sich erstere im Falle der Ansprache zum Rechtsschutze verpflichten. Nach dem Ableben der Belehnten fällt derselbe ohneweiters an das Stift zurück.Siegler: Leutolt von Chunring.Zeugen: Otto prior, Petrus cantor, Heinricus cellerarius, Albero subprior, fratres ecclesiae Chotwicensis; Jacobus plebanus de Haeinveld, Chunradus Hvrnpech, Levtwinus frater suus, Ulricus de Fůrt.Datum: acta sunt haec in Chotwico (1303), Iohannis ante portam latinam.	Schenk	PER
1437_IX_16	Befehl des Herzoges Albrecht V., dem Bischofe von Passau und dem Abte von Göttweig den Weinzehent ohne Verminderung zu leisten.	Herzoges	MISC
