regeste	first_ent	first_ent_label				
Etienne [Ier de Bâgé], évêque d’Autun, accédant à la requête de Guillaume, abbé de Fontenay, dispense l'abbaye de Fontenay de payer les dîmes sur ses possessions sises dans le diocèse d'Autun, notamment à Flacey.	Autun	LOC	F			
Humbert, évêque d’Autun, notifie d’une part l’accord intervenu entre Aganon, abbé de Flavigny, et Guillaume, abbé de Fontenay, en présence d’Hugues, évêque d’Auxerre, d’Etienne, abbé de Reigny, et d’Obert, prieur de Saint-Symphorien, à propos d’un pré tenu par Fontenay, et d’autre part un échange de terres entre les abbayes de Flavigny et de Fontenay.	Autun	LOC	F			
Obert, abbé de Saint-Marguerite, notifie que Gautier, fils de Gilbert de Thil,condède à l’abbaye de Fontenay le don fait par son père qu’il avait contesté ; pour cela, il reçoit cent sous.	Saint-Marguerite	PER	F			
Humbert, évêque d’Autun, pacifie la querelle entre l’abbaye de Fontenay et celle [Notre-Dame] d’Oigny et délimite les territoires et droits des deux abbayes.	Autun	LOC	F			
Agnès, abbesse du Puits d’Orbe, donne à Guillaume, abbé, et à l’abbaye de Fontenay, un pré et une vigne sis au Fain, que son abbaye tenait du chef d’Ermengarde, fille de Hugues de Coraboeuf. En échange, l’abbaye de Fontenay donne 8 livres de Provins au Puits d’Orbe, et un manteau, une pelisse et des bottes à Ermengarde.	Puits d’Orbe	LOC	F			
Etienne, abbé de Reigny, et Armand, archidiacre d’Autun, notifient l’accord intervenu entre Obert de Thil et l’église de Fontenay : celle-ci reconnaît tenir un pré relevant de son chasement ; celui-là exempte celle-ci des dîmes de Morville et Éringes, et reçoit 60 livres.	Armand, archidiacre d’Autun	MISC	F			
Bernard, abbé de Saint-Martin d’Autun, engage à l’abbaye de Fontenay tout ce que son abbaye possède dans les finages de Fraisne et du Fain, sauf les gens, pour six livres de Provins.	Bernard	MISC	I			
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie le don fait par Milon de Molesme, de droits d’usage dans la forêt de « Pratee » au finage de Fontaines-les-Sèches. Il reçoit un cheval et cent sous, sa femme vingt sous et son fils cinq sous.	Langres	LOC	F			
Henri, évêque d’Autun, notifie la confirmation par Roger de Semur du don fait par Richard de Coraboeuf de son chasement qu’il tenait de lui sur le territoire de Fresne, à l’église de Fontenay. Roger de Semur retient les hommes du chasement et reçoit 10 livres de l’abbaye de Fontenay.	Henri	PER	I			
Henri, évêque d’Autun, notifie que Humbert « Rivellus » de Thil, mari de Dannun, fille de Hugues de Coraboeuf, abandonne sa prétention contre l’abbaye de Fontenay sur la pâture de Ménétreux, les moines ayant apporté le témoignage que cette pâture et celles d’Éringes, de Villeneuve-les-Convers et de Seigny étaient communes.	Henri	PER	I			
Henri, évêque d’Autun, notifie le don d’un pré fait par Hugues de Bessey-[la-Cour ?] à l’église de Fontenay	Henri	PER	I			
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie l’engagement par Roger de Corraboeuf de sa terre de Laignes au profit de l’abbaye de Fontenay pour la somme de 1000 sous.	Langres	LOC	F			
Henri, évêque de Langres, notifie l’engagement de la pâture et de la paisson des porcs à Gigny et Laignes au bénéfice de l’abbaye de Fontenay pour cent sous.	Henri	PER	I			
Henri, évêque d’Autun, notifie le confirmation par Hugues le jeune de Maligny du don d’une pâture à Lucennay aux moines de Fontenay faite par son père. Les moines de Fontenay lui donnent dix livres.	Henri	PER	I			
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie plusieurs dons faits, d’une part, par Hugues de Nesle à Arnaud, abbé de Fontenay, en particulier la paisson et le pânage à certaines conditions, ainsi que deux manses et 40 jugères de terre, et pour lesquels il a reçu 500 sous, et d’autre part, par Nivard, frère de Hugues de Nesles, faits à Raoul, abbé de Fontenay. 	Langres	LOC	F			
Godefroid [de la Roche-Vanneau], évêque de Langres, notifie divers dons d’André, seigneur de Montbard, à l’abbaye de Fontenay et la confirmation par lui de ceux faits par son père Bernard et son grand-père Renard.	Langres	LOC	F			
Fastrède [de Gaviaumer], abbé de Cîteaux, notifie le jugement intervenu entre les abbayes [Notre-Dame] de Quincy et [Notre-Dame] de Fontenay à propos du droit de pâturage de Nesle.	abbayes de Quincy	LOC	F			
Guillaume [IV], comte de Nevers, donne à Hélie et à ses héritiers, femme qu’il a amenée d’Espagne, la crierie du vin de Tonnerre.	comte de Nevers	PER	I			
Pierre, comte de Nevers, donne à l’abbaye Notre-Dame de Fontenay Jean de Gigny et ses héritiers, francs de toutes charges.	comte de Nevers	PER	I			
Gauthier, évêque de Langres, notifie le don par Roger de Corraboeuf à l’abbaye de Fontenay de ses possessions à Laignes, dont un moulin.	Langres	LOC	F			
Henri, évêque d’Autun, notifie le don par Roger de Corraboeuf à l’abbaye de Fontenay de ses possessions à Laignes, dont un moulin.	Henri	PER	I			
Gauthier, évêque de Langres, notifie la cession faite à l’abbaye de Fontenay par Renaud, vicomte de Tonnerre, et son frère Hugues Catin, de leurs droits à Villeneuve-les-Convers contre un cens annuel.	Langres	LOC	F			
Henri, évêque d’Autun, notifie plusieurs dons et abandons de prétentions faits par Robert de Sainte-Colombe.	Henri	PER	I			
Henri, évêque d’Autun notifie le don fait à l’abbaye de Fontenay par Hugues de Maligny des aisances de Lucennay et du droit d’acquérir dans son chasement, ainsi que la confirmation par son fils Hugues le jeune de Maligny qui reçoit 10 livres	Henri	PER	I			
