regeste	string_before_first_verb
Etienne [Ier de Bâgé], évêque d’Autun, accédant à la requête de Guillaume, abbé de Fontenay, dispense l'abbaye de Fontenay de payer les dîmes sur ses possessions sises dans le diocèse d'Autun, notamment à Flacey.	Etienne, évêque d’Autun
Humbert, évêque d’Autun, notifie d’une part l’accord intervenu entre Aganon, abbé de Flavigny, et Guillaume, abbé de Fontenay, en présence d’Hugues, évêque d’Auxerre, d’Etienne, abbé de Reigny, et d’Obert, prieur de Saint-Symphorien, à propos d’un pré tenu par Fontenay, et d’autre part un échange de terres entre les abbayes de Flavigny et de Fontenay.	Humbert, évêque d’Autun
Obert, abbé de Saint-Marguerite, notifie que Gautier, fils de Gilbert de Thil,condède à l’abbaye de Fontenay le don fait par son père qu’il avait contesté ; pour cela, il reçoit cent sous.	Obert, abbé de Saint-Marguerite
Humbert, évêque d’Autun, pacifie la querelle entre l’abbaye de Fontenay et celle [Notre-Dame] d’Oigny et délimite les territoires et droits des deux abbayes.	Humbert, évêque d’Autun
Bornage des territoires de Poiseul, Juigny et Villers, disputés entre l’abbaye de Fontenay et celle de Flavigny, ratifié en chapitre par Aganon, abbé de Flavigny, en présence de Guillaume, abbé de Fontenay, et de deux moines.	Bornage des territoires de Poiseul, Juigny et Villers
Agnès, abbesse du Puits d’Orbe, donne à Guillaume, abbé, et à l’abbaye de Fontenay, un pré et une vigne sis au Fain, que son abbaye tenait du chef d’Ermengarde, fille de Hugues de Coraboeuf. En échange, l’abbaye de Fontenay donne 8 livres de Provins au Puits d’Orbe, et un manteau, une pelisse et des bottes à Ermengarde.	Agnès, abbesse du Puits d’Orbe
Etienne, abbé de Reigny, et Armand, archidiacre d’Autun, notifient l’accord intervenu entre Obert de Thil et l’église de Fontenay : celle-ci reconnaît tenir un pré relevant de son chasement ; celui-là exempte celle-ci des dîmes de Morville et Éringes, et reçoit 60 livres.	Etienne, abbé de Reigny, et Armand, archidiacre d’Autun
Bernard, abbé de Saint-Martin d’Autun, engage à l’abbaye de Fontenay tout ce que son abbaye possède dans les finages de Fraisne et du Fain, sauf les gens, pour six livres de Provins.	Bernard, abbé de Saint-Martin d’Autun
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie le don fait par Milon de Molesme, de droits d’usage dans la forêt de « Pratee » au finage de Fontaines-les-Sèches. Il reçoit un cheval et cent sous, sa femme vingt sous et son fils cinq sous.	Geoffroy, évêque de Langres
Henri, évêque d’Autun, notifie la confirmation par Roger de Semur du don fait par Richard de Coraboeuf de son chasement qu’il tenait de lui sur le territoire de Fresne, à l’église de Fontenay. Roger de Semur retient les hommes du chasement et reçoit 10 livres de l’abbaye de Fontenay.	Henri, évêque d’Autun
Henri, évêque d’Autun, notifie que Humbert « Rivellus » de Thil, mari de Dannun, fille de Hugues de Coraboeuf, abandonne sa prétention contre l’abbaye de Fontenay sur la pâture de Ménétreux, les moines ayant apporté le témoignage que cette pâture et celles d’Éringes, de Villeneuve-les-Convers et de Seigny étaient communes.	Henri, évêque d’Autun
Henri, évêque d’Autun, notifie le don d’un pré fait par Hugues de Bessey-[la-Cour ?] à l’église de Fontenay	Henri, évêque d’Autun
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie l’engagement par Roger de Corraboeuf de sa terre de Laignes au profit de l’abbaye de Fontenay pour la somme de 1000 sous.	Geoffroy, évêque de Langres
Henri, évêque de Langres, notifie l’engagement de la pâture et de la paisson des porcs à Gigny et Laignes au bénéfice de l’abbaye de Fontenay pour cent sous.	Henri, évêque de Langres
Henri, évêque d’Autun, notifie le confirmation par Hugues le jeune de Maligny du don d’une pâture à Lucennay aux moines de Fontenay faite par son père. Les moines de Fontenay lui donnent dix livres.	Henri, évêque d’Autun
Geoffroy [de la Roche-Vanneau], évêque de Langres, notifie plusieurs dons faits, d’une part, par Hugues de Nesle à Arnaud, abbé de Fontenay, en particulier la paisson et le pânage à certaines conditions, ainsi que deux manses et 40 jugères de terre, et pour lesquels il a reçu 500 sous, et d’autre part, par Nivard, frère de Hugues de Nesles, faits à Raoul, abbé de Fontenay. 	Geoffroy, évêque de Langres
Godefroid [de la Roche-Vanneau], évêque de Langres, notifie divers dons d’André, seigneur de Montbard, à l’abbaye de Fontenay et la confirmation par lui de ceux faits par son père Bernard et son grand-père Renard.	Godefroid, évêque de Langres
Fastrède [de Gaviaumer], abbé de Cîteaux, notifie le jugement intervenu entre les abbayes [Notre-Dame] de Quincy et [Notre-Dame] de Fontenay à propos du droit de pâturage de Nesle.	Fastrède, abbé de Cîteaux
Guillaume [IV], comte de Nevers, donne à Hélie et à ses héritiers, femme qu’il a amenée d’Espagne, la crierie du vin de Tonnerre.	Guillaume, comte de Nevers
Pierre, comte de Nevers, donne à l’abbaye Notre-Dame de Fontenay Jean de Gigny et ses héritiers, francs de toutes charges.	Pierre, comte de Nevers
Gauthier, évêque de Langres, notifie le don par Roger de Corraboeuf à l’abbaye de Fontenay de ses possessions à Laignes, dont un moulin.	Gauthier, évêque de Langres
Henri, évêque d’Autun, notifie le don par Roger de Corraboeuf à l’abbaye de Fontenay de ses possessions à Laignes, dont un moulin.	Henri, évêque d’Autun
Gauthier, évêque de Langres, notifie la cession faite à l’abbaye de Fontenay par Renaud, vicomte de Tonnerre, et son frère Hugues Catin, de leurs droits à Villeneuve-les-Convers contre un cens annuel.	Gauthier, évêque de Langres
Henri, évêque d’Autun, notifie plusieurs dons et abandons de prétentions faits par Robert de Sainte-Colombe.	Henri, évêque d’Autun
Henri, évêque d’Autun notifie le don fait à l’abbaye de Fontenay par Hugues de Maligny des aisances de Lucennay et du droit d’acquérir dans son chasement, ainsi que la confirmation par son fils Hugues le jeune de Maligny qui reçoit 10 livres	Henri, évêque d’Autun
Gauthier, évêque de Langres, notifie plusieurs dons faits à l’abbaye de Fontenay par Osmond de Planay, dont ses droits sur le bois et la plaine de Planay contre un cens annuel.	Gauthier, évêque de Langres
Hugues [III], duc de Bourgogne, notifie la reconnaissance par Hugues de Cérilly de plusieurs dons et droits de l’abbaye de Fontenay à Planay et Savoisy.	Hugues, duc de Bourgogne
Gauthier, évêque de Langres, notifie le don à l’abbaye de Fontenay fait par Robert d’Aisy des pâtures sur ses terres de Laignes, Gigny et autres lieux.	Gauthier, évêque de Langres
Gauthier, évêque de Langres, notifie plusieurs dons et ratifications de dons faits à l’abbaye de Fontenay par Eudes de Marmagne et son père Bartholomé de Châtillon .	Gauthier, évêque de Langres
Gauthier, évêque de Langres,notifie le don fait à l’abbaye de Fontenay par Hugues de Bellenot de ce qu’il possédait dans la dîme de Planay.	Gauthier, évêque de Langres
Etienne [II], évêque d’Autun, notifie le don de plusieurs terres faits par Guillaume et Gilbert de Nuits et leur famille.	Etienne, évêque d’Autun
Gauthier, évêque de Langres, notifie les donations faites par Osmond de Planay et Ysabelle, sa femme, à l’abbaye de Fontenay.	Gauthier, évêque de Langres
Etienne, évêque d’Autun, notifie le don fait à Fontenay par Guillaume Buro du pâturage à La Villeneuve-les-Convers et du droit d’acquérir des terres à Estormer	Etienne, évêque d’Autun
Etienne, évêque d’Autun, notifie le don fait à Fontenay par Guillaume Buro du pâturage à La Villeneuve-les-Convers et du droit d’acquérir des terres à Estormer	Etienne, évêque d’Autun
Gauthier, évêque de Langres, notifie que Simon de Lentagio et ses fils, Simon et Geoffroi, ont donné à l’abbaye de Fontenay des droits, notamment de pâture et de paisson, dans le finage du Puits et à Jouancey.	Gauthier, évêque de Langres
Etienne [II], évêque d’Autun, notifie le règlement intervenu entre l’abbaye de Fontenay et Calon de Lucenay, rendu par six compositores pacis, au sujet de pâtures de Lucennay, Estormay et La Villeneuve-les-Convers et Eringes.	Etienne, évêque d’Autun
