id	regeste	issuer
1403_XII_04	Lehensbrief Herzog Albrechts IV. an Albrecht von Pucheim.
1340.4	Banntaiding des Stiftes Göttweig zu Kottes.
1369_XI_30	Revers des Abtes Ulrich I. von Göttweig über die von Stefan von Hohenberg gemachte Stiftung eines Jahrtages für dessen Mutter Kunigunde zu Kleinzell.
1459_IV_09	Abt Mert zu Gottweig vidimiert auf Bitten des Abtes Wolfganng zu Altennburgk zwei ihm im Originale auf Pergament mit Hängesiegeln vorgelegte Urkunden (1.) der Herzoge Albrecht [III.] und Lewpolt [III] von Oesterreich d. d. Wien an montag nach sand Veitstage (Juni 18) 1369 und (2.) des Herzoges Albrecht [III.] von Osterreich d. d. Wien 1392.Siegler: (I.) Abt Mert zu Gottweig.Datum: Geschehen zu Gottweig an montag nach sandt Ambrositag (1459).
1466_VII_12.1	Martinus abbas Gottwicensis cum toto suo conventu renunciant etiam tertiae parti oblationum in capella sancti Wolfgangi in Varenveld intra limites ecclesiae parrochialis Sancti Viti propter divini cultus augmentationem, qui propter controversiam sub abbate Stephano habitam anno 1441 in grave populi scandalum extitit diminutus, et monasterio Campililiorum in perpetuum concedunt.
1474_VII_06	Laurentius dei gratia abbas monasterii Gottwicensis ordinis sancti Benedicti etc. tractat de morte presulis nostri Georgii et electione Thomae successoris sui. Datum in civitate Sancti Yppoliti dictae Pataviensis dioecesis die VI mensis iulii (1474).
1489_XI_19	Abt Mathias [I.] zum Gottweig vidimiert auf Bitten der Edlen Steffan Vtendorfer zu Goldekk und Cristoff Gramer zu Zaegking eine von Veit Hochsteter zu Wogram ausgestellte Urkunde auf Pergament von 1485 März 25.Datum: an sannd Elisabethtag (1489).
1493_XII_07	Abt [Mathias I.] von Göttweig ist bei den Exequien für Kaiser Friedrich III. in Wien anwesend.
1072_X_01	MLXXII.1 Êcclesia sancte Erindrudis et altare primum sanctê Marie a venerabili Altmanno Pataviensi episcopo dedicatum est in monte, qui vocatur Kothwich.
1094	Bericht über die Einführung des Benedictinerordens in Göttweig.
1114_VIII_13	Paschalis episcopus, servus servorum dei, karissimis fratribus Hartmanno abbati Gotwigensi et eius congregationi salutem et apostolicam benedictionem. Caelum et terra transibunt, verba autem dei non praeteribunt. Ipse enim praedixit, quod cernimus, quod quotidie experimur, quoniam abundavit iniquitas. refrigescet caritas multorum. Mittit [Hartmanno] litteras, in quibus eum et sibi subditos a communione excommunicatorum prohibet.
1108	Der Göttweiger Mönch Wirnto,1 Prior von Garsten, wird Abt von Formbach.
1158	Vergabung von pfarrlichen Rechten und Zehenten seitens des Bischofes Konrad I. von Passau an das Stift Waldhausen.Unter den Zeugen: ,assidentibus venerabilibus fratribus nostris etc. Johanne abbate Cothwicense.'
1211	Vertrag des Erzbischofes Eberhard II. von Salzburg mit Herzog Leopold VI. von Oesterreich wegen des Patronatsrechtes benannter Kirchen und wegen mehrerer Burgen.Unter den Zeugen: ,Wecelo abbas de Cotwico´.
1219_IX_18	Beilegung eines Streites zwischen Bischof Ulrich II. von Passau und dem Äbte Friedrich von Geras betreffs der Pfarren Drosendorf und Pernegg.Unter den Zeugen: ,Wezelo abbas et Heinricus prior de Chotewico'.Datum in Chotewico per manum Chunradi notarii nostri XIIII. kalendas octobris, anno domini MCCXVIIII, indictione septima, pontificatus nostri anno quarto.
1235.1	Abt Ulrich von Garsten, Propst Bernhard von St. Florian und Dechant Wernher von Enns citieren Abt Heinrich von Rot zum weitenmale nach Vöcklabruck behufs Untersuchung und Beilegung seines Besitstreites mit Göttweig über Güter an der Schwarza.
1305	Anno domini millesimo CCCV temporibus domini Hainrici dicti de Meyerling abbatis hec bona dominus Hermannus de Ladendorf ecclesie nostre perpetuo tradidit possidendam. Officina Mayspirbaum: Peisdorf:1 de curia duo coloni XIIII solidos denariorum Michelis. Item de Prvelndorf:2 Ij beneficia, duo coloni x solidos Michahelis.Mayspirbaum: Ix solidos de una curia, de area ibidem xxI denarios, idem de agris xlii denarios, de duobus beneficiis ibidem xII solidos denariorum. De Lachsveld:3 x solidos denariorum Michahelis. In Waidendorf:4 I talentum denariorum. In Leutoltstal:5 I modium tritici et j talentum denariorum pro porco Martini. De Velebrunn: I talentum denariorum, quod datur dominis ad oblagium.Summa: Ix talenta denariorum III solidi xxI denarii et I modius tritici.
1348_II_10	Spruchbrief des Klosterneuburger Amtmannes Konrad über ein dem Ulrich von Göttweig gehöriges, versessenes Burgrecht auf einer Brandstätte vor dem Schottenthore zu Wien.
1396_III_23	Die Herzoge Wilhelm und Albrecht IV. belehnen den Konrad Flämming mit einem Hofe und 58 d. Gülten zu Theyern und 10 Metzen Marchfutter in der Stössinger Pfarre.
1437_IX_22	Klage des Hanns Piderman auf eine Schuld von 216 ungarischen Gulden gelegen auf zwei Häusern zu Klosterneuburg.
1442_I_30	Urfehde Stefan des Kannczler von Gösing mit Göttweig.
1442_VIII_19	Ausschreiben des Pfalzgrafen Heinrich von Kärnten wegen des von König Albrecht II. nach Judenburg ausgeschriebenen Tages.
1448_II_11	Benannte Spruchleute entscheiden einen Streit über eine Stiftung zu Nieder-Kreuzstetten.
1450_IX_28	Friedrich's IV. Befehl wegen einer auf benannte Göttweiger Kirchen veranschlagten Steuer.
1464_IX_30	Vier benannte Spruchleute einigen den resignierten Abt Wolfgang und Abt Martin von Göttweig in ihren Verhandlungen über den Tausch von Jahresrenten des ersteren.
1478_VI_29	Schiedspruch der vier Spruchleute Steffan Kyczprecht im Kersenpach, Augustin im Halbpach, Thoman ,an der mittern muell' zu Rorbach und Peter an der Stainwand im Halbpach, alle vier gesessen in der Haynfelder, Veytinger und Zeller Pfarre, zwischen Gainglein und Anderlein zu Halbpach wegen des Sägewerkes und der Mühle daselbst samt Zugehör auf ihrem gemeinsamen Grunde.Siegler: Steffan Pfarrer zu St. Veyt auf der Goelsen, ein Mönch von Kotwey, mit der Petschaft.Datum in S. Vito in die sanctorum apostolorum Petri et Pauli 1478.
1479_VII_09	Erbvertrag zwischen Barbara Dorn und ihren Kindern nach ihrem ersten Manne Wolfgang Ruettinger.
1496_IX_23	Bericht des Rupert Spiegl an Abt Mathias I. von Göttweig über seine Bemühungen als Procurator des Stiftes an der römischen Curie in dessen Angelegenheiten.
1496_XII_10.1	Bericht des Bischofes Christophorus von Passau an Herzog Albrecht von Ober- und Niederbaiern über die gewaltsamen Vorgänge bei der von ihm im Stifte Göttweig vorgenommenen Visitation vom 11. October 1496.
1497_VII_22	Bericht des Göttweiger Agenten an der römischen Curie Rupert Spiegl an Abt Mathias I. von Göttweig über die Ankunft des Göttweiger Priors Johann zu Rom.
1505	Verzichtsbrief Hansen Schäffers auf seine Freiheit und Ablaufung des Dienstes am Halber Hoff zu Maur.
1518_IV_03	Revers des Moritz Rumpff von Walroß, Ritter und Pfleger zu Osterwitz an seine Schwäger Eustachius und Sigismund Freyberger bezüglich seines Besitzes in Völkermarkt in Kärnten.
1707_IX_15	Bulle Clemens XI.[Provisio Ioannis Georgii Nitschke super Canonicatu Colleg. Eccl. ad S. Petrum Mogun.]
1707_IX_16	Bulle Clemens XI. [betr. Mainz].
1708_IV_10	Bulle Clemens XI. [betr. Mainz ?]
1708_IV_22	Bulle Clemens XI. an den Erzbischof von Mainz Franciscus Columnis [?].
1708_V_31	Bulle Clemens XI. [betr. Mainz ?]
1709_VIII_13	Bulle Clemens XI. [betr. Mainz]
